customerID,gender,Usia >65 Tahun (SeniorCitizen),Memiliki Pasangan (Partner),Memiliki Tanggungan (Dependents),Lama Berlangganan (tenure),Layanan Telepon (PhoneService),Memiliki Beberapan Layanan Telepon (MultipleLines),Jenis Layanan Internet (InternetService),Memiliki Keamanan Online (OnlineSecurity), Memiliki Backup Online (OnlineBackup),Memiliki Perlindungan Perangkat (DeviceProtection),Memiliki Dukungan Teknis (TechSupport),Layanan Streaming TV (StreamingTV), Layanan Streaming Film (StreamingMovies),Jenis Kontrak Pelanggan (Contract),Tagihan Paperless (PaperlessBilling),Metode Pembayaran (PaymentMethod),Jumlah Tagihan per Bulan (MonthlyCharges),Total Tagihan Selama Menjadi Pelanggan (TotalCharges),Churn
IDE5A6E7,Male,0,Yes,No,56,No,No,Fiber optic,No,No internet service,Yes,No,No internet service,No,Two year,Yes,Credit card (automatic),22.54,20.78,Yes
ID43849E,Male,0,Yes,No,46,No,No phone service,Fiber optic,Yes,No,No internet service,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),112.62,7369.24,No
ID63F810,Female,1,No,Yes,53,Yes,No phone service,Fiber optic,No internet service,No,No,No,Yes,No,One year,No,Mailed check,118.29,6586.32,No
ID1AC616,Male,1,No,Yes,2,No,Yes,Fiber optic,Yes,Yes,No,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),55.42,7712.23,Yes
IDF8FD0B,Female,0,No,No,52,Yes,No phone service,DSL,No internet service,No,No,Yes,No internet service,No internet service,Two year,Yes,Mailed check,30.71,2892.69,Yes
IDA84A16,Female,0,No,No,30,Yes,Yes,No,No,No internet service,No,Yes,Yes,No internet service,One year,No,Mailed check,85.86,5325.1,Yes
ID7FE482,Female,1,No,No,68,No,No,No,No,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),22.98,1360.81,No
IDED4A92,Male,0,Yes,Yes,32,Yes,No,Fiber optic,No internet service,No,Yes,No,Yes,No,Two year,Yes,Mailed check,68.25,6539.92,Yes
IDC8C805,Female,1,Yes,Yes,71,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,Yes,No internet service,Two year,No,Bank transfer (automatic),47.18,1307.71,No
ID0EED40,Male,1,No,Yes,49,Yes,No,DSL,Yes,No,No,No,No,No internet service,One year,No,Electronic check,67.33,2621.37,No
IDEF171C,Female,1,No,Yes,15,No,No phone service,DSL,No internet service,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,No,Electronic check,21.83,3936.86,Yes
IDC2784D,Female,1,Yes,Yes,38,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No,Yes,Two year,Yes,Electronic check,25.16,4764.36,No
ID638B34,Female,0,Yes,No,45,No,Yes,DSL,Yes,No internet service,Yes,No internet service,Yes,No internet service,Two year,No,Credit card (automatic),21.6,4485.87,No
IDFA7813,Female,0,Yes,Yes,46,No,Yes,DSL,No internet service,No internet service,No,No internet service,No,Yes,Two year,Yes,Credit card (automatic),81.91,834.73,Yes
ID59331A,Female,0,Yes,No,43,No,No,Fiber optic,No internet service,Yes,No,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),76.01,3384.97,No
ID3ED13A,Female,0,No,No,8,Yes,No,Fiber optic,Yes,No,No internet service,No,No internet service,No internet service,Two year,Yes,Electronic check,43.32,7384.82,No
ID32E97C,Female,0,Yes,Yes,49,No,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Two year,No,Electronic check,84.66,6981.5,No
IDC31667,Female,0,No,No,59,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),108.42,4734.45,Yes
IDBAF165,Male,0,Yes,Yes,14,Yes,Yes,No,Yes,No,No internet service,No,No,Yes,Two year,No,Electronic check,47.73,4587.15,No
IDD33764,Male,1,Yes,No,35,Yes,No phone service,No,No internet service,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,103.2,911.17,Yes
ID3E7D80,Female,0,Yes,Yes,62,Yes,No,Fiber optic,No,No,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,86.25,1618.07,Yes
IDFDFED2,Female,0,No,Yes,68,No,No phone service,DSL,No internet service,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,23.38,2036.07,No
ID73606F,Female,1,No,No,40,No,No,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),57.51,3915.8,Yes
ID4C76FF,Male,0,Yes,Yes,23,Yes,No phone service,No,No internet service,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),70.78,5856.22,No
ID8B24F9,Female,0,No,No,48,No,No,DSL,No internet service,No,No internet service,No,No internet service,No,Two year,No,Bank transfer (automatic),93.17,3696.59,Yes
ID8B098D,Male,1,No,Yes,17,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Two year,Yes,Electronic check,48.71,1025.97,Yes
ID2F129A,Male,0,Yes,Yes,6,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),118.27,3526.0,No
ID31E399,Male,0,Yes,Yes,3,Yes,No phone service,No,No,No internet service,No internet service,No,Yes,No internet service,One year,Yes,Credit card (automatic),88.45,1317.81,Yes
ID698E3B,Male,0,No,No,68,No,No,No,No internet service,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Mailed check,57.28,6014.16,No
ID36A45C,Male,1,No,No,59,Yes,Yes,No,No internet service,Yes,No,Yes,Yes,No internet service,Two year,Yes,Mailed check,29.7,1348.68,No
ID17FF13,Female,0,No,Yes,54,No,No phone service,DSL,Yes,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),38.14,3870.62,No
ID4EEE52,Female,0,Yes,No,15,Yes,No,No,No internet service,No,Yes,Yes,No internet service,No,One year,No,Bank transfer (automatic),68.76,5553.44,No
IDDB9FA0,Female,1,Yes,Yes,28,Yes,No phone service,DSL,Yes,No,No internet service,Yes,No,No internet service,Two year,Yes,Electronic check,69.47,1841.02,No
IDD4AF21,Female,0,No,No,22,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,96.77,626.72,Yes
ID1849B3,Female,1,Yes,No,13,No,No phone service,Fiber optic,No internet service,Yes,No,No internet service,No,No,One year,Yes,Bank transfer (automatic),92.62,4515.13,No
IDA47ED1,Male,1,Yes,Yes,48,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),40.13,452.54,No
ID640CA4,Female,0,No,Yes,32,No,No phone service,DSL,No,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Mailed check,79.5,4710.39,No
IDB8601E,Female,1,No,Yes,24,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,Yes,No,Two year,No,Mailed check,22.06,6032.92,No
IDE8D922,Male,1,Yes,Yes,20,No,Yes,DSL,No,No,Yes,Yes,Yes,No internet service,One year,No,Electronic check,59.85,2647.94,Yes
ID4ECDE3,Female,0,Yes,Yes,16,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),96.41,3917.03,Yes
ID31CE69,Male,1,No,No,22,No,No,No,Yes,Yes,No,No internet service,No internet service,Yes,One year,No,Bank transfer (automatic),59.95,7431.52,Yes
ID2EDFCE,Female,1,Yes,No,56,Yes,Yes,No,No internet service,Yes,No internet service,No,No,No internet service,Two year,Yes,Electronic check,103.56,3779.45,Yes
ID0B5ECD,Male,0,Yes,Yes,57,Yes,Yes,DSL,Yes,No,No,No,No internet service,No internet service,Two year,No,Mailed check,117.62,7972.5,No
IDC4C1DD,Female,0,No,Yes,13,Yes,No,DSL,No,No internet service,No internet service,No,Yes,No,Two year,Yes,Credit card (automatic),80.72,1272.88,No
ID3D74C3,Female,0,No,Yes,19,No,Yes,No,Yes,No internet service,No,No,No,No internet service,One year,Yes,Credit card (automatic),34.5,5677.29,No
ID035DF4,Male,1,Yes,No,29,Yes,No phone service,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),57.97,5227.9,No
IDA6F8F1,Male,0,Yes,Yes,18,Yes,Yes,No,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),20.95,6980.99,No
IDF2F416,Male,1,Yes,Yes,52,Yes,Yes,DSL,No internet service,Yes,No internet service,No internet service,No,No internet service,One year,Yes,Mailed check,80.27,757.7,No
IDB59869,Male,1,No,No,55,Yes,Yes,No,No internet service,No,Yes,No,No internet service,No internet service,Two year,No,Mailed check,102.16,2256.05,No
ID4B0E8B,Male,1,Yes,No,22,No,No phone service,DSL,No,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,82.99,1074.79,No
IDBA51A5,Male,1,Yes,No,61,Yes,No phone service,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,98.61,7466.1,No
ID5DB446,Male,1,No,No,32,Yes,No phone service,DSL,Yes,No,Yes,No internet service,No internet service,Yes,Two year,No,Mailed check,99.99,3424.55,No
ID6426FA,Male,1,No,Yes,17,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,105.1,7282.33,Yes
IDE94804,Female,1,Yes,No,72,No,No,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,46.67,2369.37,Yes
ID69A773,Female,0,No,No,32,No,No phone service,DSL,Yes,Yes,No internet service,No internet service,No,Yes,Two year,No,Mailed check,107.13,1028.42,No
ID7EC218,Male,0,No,Yes,31,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No,One year,No,Credit card (automatic),85.41,2386.37,No
IDA5DCA3,Female,1,Yes,Yes,60,No,No phone service,DSL,No,No internet service,Yes,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),48.97,4785.45,Yes
ID3037D1,Female,1,No,Yes,53,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,118.73,6764.96,No
ID6A3B73,Female,0,No,No,16,No,No,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),115.02,3095.42,No
IDA0CC16,Female,1,Yes,Yes,18,Yes,Yes,DSL,Yes,No internet service,No,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),77.44,7320.17,No
ID2F803D,Male,0,No,No,69,Yes,Yes,No,No internet service,Yes,No,No internet service,Yes,No internet service,One year,Yes,Bank transfer (automatic),104.32,1968.97,No
ID7CAF9F,Female,0,Yes,No,33,Yes,No phone service,DSL,No internet service,No,No,No internet service,Yes,No,One year,No,Credit card (automatic),46.15,5554.45,No
IDE9B8D8,Male,0,Yes,No,24,No,No phone service,DSL,No,No internet service,No,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),61.6,5890.99,Yes
IDEB743A,Female,1,No,Yes,67,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No,One year,No,Bank transfer (automatic),38.4,2206.22,No
IDC8A414,Female,1,No,No,10,No,Yes,No,No,Yes,No internet service,Yes,No,No,Two year,No,Electronic check,72.01,235.22,Yes
ID45823B,Female,0,No,Yes,15,No,Yes,DSL,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),69.6,2934.59,No
IDB16863,Male,0,Yes,Yes,60,No,No phone service,DSL,No,Yes,No internet service,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),41.28,380.67,No
ID6E9BDC,Female,0,No,Yes,6,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,No,Yes,One year,No,Mailed check,87.28,7208.02,No
ID605CDF,Male,0,Yes,No,15,No,No,DSL,No internet service,Yes,No,No internet service,Yes,Yes,One year,Yes,Mailed check,31.78,7629.13,Yes
ID6B8933,Female,0,No,No,15,No,No phone service,DSL,No internet service,No,No,No,No,No internet service,One year,Yes,Electronic check,26.17,5888.33,Yes
ID605A62,Male,1,No,No,39,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No internet service,No,No,Two year,Yes,Bank transfer (automatic),58.49,5818.94,No
ID729069,Female,0,No,Yes,11,No,No,No,Yes,Yes,Yes,No internet service,Yes,No internet service,One year,Yes,Bank transfer (automatic),60.98,1942.32,Yes
ID0A2706,Male,1,Yes,No,34,No,No,No,Yes,Yes,No,No,No,No internet service,Two year,No,Electronic check,51.97,609.93,Yes
ID35C6CD,Male,0,No,No,20,No,Yes,DSL,No internet service,Yes,No internet service,No internet service,Yes,No internet service,One year,Yes,Mailed check,45.79,6420.79,Yes
ID4108F5,Female,1,No,No,49,Yes,No,DSL,No internet service,No internet service,Yes,No,No,No internet service,One year,No,Bank transfer (automatic),53.88,4482.11,No
IDACACF3,Male,1,Yes,No,42,No,No phone service,Fiber optic,Yes,Yes,No internet service,No,Yes,No,Month-to-month,No,Electronic check,36.34,5459.39,Yes
ID022A93,Female,1,Yes,No,16,Yes,Yes,No,No,No,Yes,No internet service,No internet service,No,One year,Yes,Mailed check,60.35,6241.54,Yes
IDBC29B1,Female,1,No,Yes,31,Yes,No,No,No,No internet service,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),110.46,3287.29,Yes
IDDF104A,Female,1,No,Yes,40,No,Yes,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,Month-to-month,No,Electronic check,42.44,1173.48,No
IDF6B1BA,Female,1,No,Yes,5,No,Yes,No,No,Yes,No internet service,No internet service,Yes,No,Two year,No,Electronic check,88.45,6364.39,Yes
ID1CD91F,Female,0,Yes,Yes,26,No,Yes,No,No internet service,No internet service,No internet service,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),34.18,3641.05,Yes
IDC56585,Female,1,Yes,No,19,No,Yes,Fiber optic,No internet service,No,Yes,No,No internet service,No,Month-to-month,No,Credit card (automatic),55.39,6618.86,No
IDDD1FAD,Female,0,Yes,Yes,24,Yes,No,Fiber optic,No internet service,No internet service,No,No,Yes,No internet service,One year,Yes,Mailed check,52.12,3512.84,No
IDB6BF4C,Female,1,Yes,No,65,Yes,No phone service,No,Yes,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),113.7,1751.79,No
ID876B4D,Female,1,No,Yes,8,No,No phone service,No,No,Yes,No internet service,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),62.8,1384.62,Yes
IDD1E379,Female,0,Yes,Yes,52,Yes,No,No,Yes,No internet service,Yes,No,Yes,No internet service,One year,Yes,Bank transfer (automatic),89.05,5956.5,No
ID60D23C,Female,1,Yes,Yes,60,No,No phone service,DSL,No,No,No internet service,No,Yes,No,Month-to-month,No,Mailed check,80.25,4607.62,No
ID5EB40F,Male,0,Yes,No,37,No,Yes,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No,Two year,No,Mailed check,34.1,3248.73,Yes
ID1B7CBA,Male,0,No,No,2,No,Yes,DSL,Yes,No,Yes,Yes,Yes,No internet service,One year,No,Mailed check,113.95,3947.09,No
ID7C13B4,Female,0,No,Yes,69,No,Yes,Fiber optic,No internet service,No internet service,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),54.59,4406.12,Yes
ID9786B5,Female,0,Yes,No,54,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,Yes,One year,No,Mailed check,24.48,1930.54,No
IDB44131,Female,1,Yes,Yes,0,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No,No,One year,Yes,Mailed check,50.04,3037.76,No
ID8C237B,Female,1,No,Yes,69,No,Yes,No,No,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Mailed check,53.56,2353.44,Yes
IDF84133,Female,0,No,Yes,44,No,No,Fiber optic,No,Yes,No internet service,No,No internet service,No,One year,Yes,Electronic check,29.27,3119.62,Yes
ID2084F8,Female,1,No,No,46,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,Yes,No internet service,Two year,Yes,Mailed check,82.0,4014.49,Yes
IDB2D7D9,Female,1,No,Yes,25,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No,No internet service,One year,Yes,Bank transfer (automatic),54.68,1403.39,Yes
ID7720F7,Female,0,No,Yes,13,Yes,No phone service,DSL,No,No,Yes,No internet service,Yes,No internet service,Two year,Yes,Electronic check,82.91,3160.25,No
IDD61A02,Male,1,No,Yes,53,No,No,Fiber optic,No,No internet service,No,No,No internet service,No,One year,No,Bank transfer (automatic),20.67,3096.25,No
ID94F1C9,Female,0,No,No,70,Yes,Yes,Fiber optic,No,No,No internet service,No,No internet service,Yes,One year,Yes,Credit card (automatic),118.2,2302.31,Yes
IDC3877D,Male,0,No,Yes,45,No,Yes,No,No internet service,No internet service,Yes,No internet service,No,No internet service,Month-to-month,No,Electronic check,37.05,7988.0,No
IDF499BF,Female,1,Yes,No,30,No,Yes,DSL,No,No internet service,Yes,No,Yes,Yes,One year,No,Mailed check,85.93,607.55,Yes
ID33A221,Female,1,Yes,Yes,58,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,No internet service,No,One year,No,Electronic check,91.58,5150.75,No
ID07943B,Male,1,Yes,No,28,No,No phone service,Fiber optic,Yes,No,No internet service,No internet service,No,No internet service,Two year,Yes,Bank transfer (automatic),37.16,1412.02,Yes
IDB7AECA,Female,0,Yes,Yes,16,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,No,No internet service,Two year,Yes,Electronic check,31.17,6719.4,Yes
IDAE68AE,Male,0,Yes,Yes,13,No,No phone service,Fiber optic,Yes,No internet service,No,No,Yes,No internet service,Two year,Yes,Credit card (automatic),35.26,7315.29,Yes
IDD124B9,Female,1,Yes,No,35,No,No phone service,No,No,Yes,No,No,No internet service,No,One year,No,Mailed check,44.68,3223.79,Yes
ID41BBF8,Female,1,No,No,57,No,No,DSL,No internet service,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,36.82,6591.36,No
ID710654,Male,1,No,Yes,23,No,Yes,No,No,No,No,No internet service,Yes,No,Two year,Yes,Credit card (automatic),87.4,2014.28,Yes
ID1FD9FF,Female,1,Yes,No,62,No,No phone service,DSL,No internet service,Yes,No internet service,No,Yes,Yes,One year,No,Bank transfer (automatic),62.08,1137.75,Yes
IDA40C7A,Male,0,Yes,Yes,24,No,Yes,DSL,No,Yes,No,Yes,No internet service,Yes,Two year,Yes,Electronic check,73.78,2540.71,No
IDE29A71,Female,1,No,Yes,58,Yes,No,DSL,Yes,Yes,No internet service,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),24.73,2746.56,No
ID55AD5B,Male,0,No,Yes,31,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),106.12,3190.91,Yes
ID4FD875,Male,0,No,No,17,No,Yes,DSL,No,Yes,No internet service,Yes,Yes,No,Two year,No,Bank transfer (automatic),37.06,2996.21,No
ID5F68FA,Female,1,Yes,Yes,36,Yes,No phone service,DSL,No internet service,Yes,No internet service,No internet service,No internet service,No,Two year,Yes,Mailed check,56.02,3300.93,No
ID8635CA,Female,1,No,No,25,No,No phone service,DSL,No internet service,No,No,No internet service,Yes,No,Two year,Yes,Electronic check,27.19,5686.07,Yes
IDC38E7B,Male,1,Yes,Yes,8,Yes,No,No,No,No,No internet service,No,No,No internet service,One year,No,Mailed check,33.68,1979.73,Yes
ID1F9328,Female,0,Yes,No,63,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,86.58,168.23,Yes
ID81FE71,Female,1,No,No,71,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,No,Yes,Month-to-month,Yes,Mailed check,89.26,3927.65,No
IDD7B84D,Female,1,No,Yes,19,Yes,No phone service,DSL,No internet service,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,87.7,3597.36,No
IDF386E8,Male,0,Yes,No,53,No,No phone service,DSL,Yes,No internet service,No internet service,No,Yes,No internet service,Two year,No,Credit card (automatic),75.21,499.32,No
IDED4C6E,Male,1,No,Yes,29,Yes,No,No,No internet service,No,No internet service,No internet service,Yes,No internet service,One year,No,Mailed check,115.25,1087.74,Yes
ID8D449F,Male,0,No,Yes,52,No,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,70.72,4089.17,Yes
ID728588,Male,1,Yes,Yes,62,Yes,No phone service,Fiber optic,Yes,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Mailed check,64.94,1893.31,No
ID753B93,Male,0,No,Yes,10,No,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,No internet service,One year,No,Electronic check,44.75,7023.23,Yes
IDC0BBC6,Male,1,Yes,Yes,30,Yes,No,DSL,No internet service,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,29.88,1402.87,No
IDADF708,Male,1,Yes,No,48,No,Yes,DSL,Yes,No,No,No,No,No internet service,Two year,No,Bank transfer (automatic),74.82,180.58,No
ID9DD787,Male,0,No,Yes,18,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,Yes,Two year,Yes,Mailed check,51.49,3591.56,Yes
IDB6A27F,Male,0,Yes,No,11,No,Yes,Fiber optic,No internet service,No,No,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,72.4,7889.58,Yes
ID5BADDD,Female,1,Yes,No,14,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,40.61,5078.3,No
ID65BCD0,Male,0,No,Yes,30,No,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,One year,Yes,Electronic check,103.82,2845.16,Yes
ID1AEFB6,Female,0,No,No,42,Yes,No,DSL,No internet service,No,Yes,No,Yes,No,Two year,Yes,Mailed check,119.97,154.61,Yes
ID1AD7BE,Female,0,No,Yes,36,No,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),52.24,3889.89,Yes
ID0C4528,Female,0,Yes,No,28,No,Yes,DSL,No internet service,No,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),104.23,1667.6,Yes
ID9C21D9,Male,1,Yes,No,25,No,Yes,No,No internet service,Yes,Yes,No,Yes,No internet service,One year,Yes,Bank transfer (automatic),107.3,5189.08,Yes
ID3E2744,Male,1,No,No,1,No,No,Fiber optic,No,No internet service,Yes,Yes,No internet service,Yes,One year,No,Mailed check,119.61,4672.41,Yes
ID0CEA27,Male,0,Yes,Yes,14,Yes,No,DSL,No,No,Yes,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),54.27,2136.41,No
ID59A64D,Male,0,No,No,3,Yes,Yes,No,Yes,No,No internet service,No internet service,No,Yes,Two year,No,Bank transfer (automatic),95.6,569.68,Yes
ID367399,Female,0,No,Yes,49,Yes,No,No,Yes,No internet service,Yes,No internet service,No,No internet service,One year,Yes,Mailed check,42.88,6045.05,No
IDF4FA49,Male,0,Yes,No,37,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),82.48,4692.0,No
IDAB097E,Male,1,No,No,22,No,No,No,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,90.48,6740.17,No
ID4C95A9,Male,1,Yes,No,58,No,No,No,No internet service,Yes,Yes,No internet service,Yes,No,Two year,Yes,Mailed check,94.11,2093.2,Yes
IDABADAE,Male,0,Yes,No,27,No,No,DSL,Yes,Yes,No internet service,Yes,No,No internet service,Two year,Yes,Electronic check,40.72,5229.84,No
IDA479B1,Male,0,No,Yes,65,No,No phone service,No,Yes,Yes,No,No,No internet service,Yes,One year,No,Mailed check,104.87,967.07,Yes
ID4B228F,Female,0,Yes,Yes,7,Yes,No phone service,DSL,No internet service,No,No internet service,Yes,No,No,Month-to-month,No,Electronic check,62.1,2348.64,No
ID8ED4D7,Male,1,No,No,28,Yes,No phone service,DSL,No internet service,No,No,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),41.64,5259.18,No
IDCB51F2,Female,0,Yes,No,10,Yes,Yes,No,Yes,No,No,No,Yes,No internet service,Two year,No,Credit card (automatic),74.25,6608.14,No
IDFDBFFC,Male,1,Yes,Yes,17,No,Yes,DSL,No,No internet service,Yes,Yes,No internet service,No,Two year,No,Electronic check,106.34,2580.99,Yes
ID5C087A,Female,0,Yes,Yes,54,No,No phone service,DSL,No,Yes,No internet service,No,No,No internet service,Two year,No,Electronic check,116.71,6394.85,No
IDA9DF13,Male,1,No,Yes,49,No,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),94.82,5428.46,No
ID0E8E31,Male,0,Yes,Yes,13,No,Yes,DSL,Yes,Yes,No,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),20.56,2802.42,Yes
IDDE462F,Female,1,No,No,8,No,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,33.47,7013.65,No
ID471E27,Female,0,Yes,No,10,No,No phone service,Fiber optic,No,No internet service,No,Yes,No internet service,No internet service,One year,Yes,Electronic check,27.63,4083.65,No
